year,team_full,league,team_wins,team_losses,team_ties,team
1976,Detroit Tigers,AL,74,87,0,DET
1976,Houston Astros,NL,80,82,0,HOU
1976,Kansas City Royals,AL,90,72,0,KCR
1976,California Angels,AL,76,86,0,CAL
1976,Los Angeles Dodgers,NL,92,70,0,LAD
1976,Milwaukee Brewers,AL,66,95,0,MIL
1976,Minnesota Twins,AL,85,77,0,MIN
1976,New York Mets,NL,86,76,0,NYM
1976,New York Yankees,AL,97,62,0,NYY
1976,Oakland Athletics,AL,87,74,0,OAK
1976,Philadelphia Phillies,NL,101,61,0,PHI
1976,Pittsburgh Pirates,NL,92,70,0,PIT
1976,San Diego Padres,NL,73,89,0,SDP
1976,San Francisco Giants,NL,74,88,0,SFG
1976,St. Louis Cardinals,NL,72,90,0,STL
1976,Texas Rangers,AL,76,86,0,TEX
1976,Montreal Expos,NL,55,107,0,MON
1977,Atlanta Braves,NL,61,101,0,ATL
1977,Baltimore Orioles,AL,97,64,0,BAL
1977,Boston Red Sox,AL,97,64,0,BOS
1977,Chicago Cubs,NL,81,81,0,CHC
1977,Chicago White Sox,AL,90,72,0,CHW
1977,Cincinnati Reds,NL,88,74,0,CIN
1977,Cleveland Indians,AL,71,90,0,CLE
1977,Detroit Tigers,AL,74,88,0,DET
1977,Houston Astros,NL,81,81,0,HOU
1977,Kansas City Royals,AL,102,60,0,KCR
1977,California Angels,AL,74,88,0,CAL
1977,Los Angeles Dodgers,NL,98,64,0,LAD
1977,Milwaukee Brewers,AL,67,95,0,MIL
1977,Minnesota Twins,AL,84,77,0,MIN
1977,New York Mets,NL,64,98,0,NYM
1977,New York Yankees,AL,100,62,0,NYY
1977,Oakland Athletics,AL,63,98,0,OAK
1977,Philadelphia Phillies,NL,101,61,0,PHI
1977,Pittsburgh Pirates,NL,96,66,0,PIT
1977,San Diego Padres,NL,69,93,0,SDP
1977,San Francisco Giants,NL,75,87,0,SFG
1977,Seattle Mariners,AL,64,98,0,SEA
1977,St. Louis Cardinals,NL,83,79,0,STL
1977,Texas Rangers,AL,94,68,0,TEX
1977,Toronto Blue Jays,AL,54,107,0,TOR
